user_id,text
0,Bugis oso near wat...
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
0,I dunno until when... Lets go learn pilates...
0,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat..."
0,Meet after lunch la...
0,m walking in citylink now ü faster come down... Me very hungry...
0,5 nights...We nt staying at port step liao...Too ex
0,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!
0,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
0,Hey tmr maybe can meet you at yck
0,Oh...i asked for fun. Haha...take care. ü
0,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
0,t finish my film yet...
0,m having dinner with my cousin...
0,Oh... Kay... On sat right?
0,I need... Coz i never go before
0,s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
0,I am going to sao mu today. Will be done only at 12
0,Hey gals...U all wanna meet 4 dinner at nìte?
0,Jos ask if u wana meet up?
0,Haiyoh... Maybe your hamster was jealous of million
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?
0,ve booked the pilates and yoga lesson already... Haha
0,Yup... I havent been there before... You want to go for the yoga? I can call up to book
0,K... Must book a not huh? so going for yoga basic on sunday?
0,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?
0,Sat right? Okay thanks...
0,Yup... From what i remb... I think should be can book...
0,m going to get specs. My membership is PX3748
0,We can go 4 e normal pilates after our intro...
0,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
0,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
0,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..."
0,Wah... Okie okie... Muz make use of e unlimited... Haha...
0,ll go yan jiu den msg u...
0,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
0,"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah..."
0,Nope... Juz off from work...
0,Oh oh... Wasted... Den muz chiong on sat n sun liao...
0,"Haha... Sounds crazy, dunno can tahan anot..."
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
0,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready..."
